コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,企業名,業界
1301,2022/03,130460000000,42174000000,39072000000,32507000000,15714000000,27021000000,3969.6,32.7,極洋,水産・農林業
1332,2022/03,505731000000,208598000000,172889000000,121472000000,83197000000,94939000000,609.82,37.5,ニッスイ,水産・農林業
1333,2022/03,548603000000,187895000000,153291000000,91611000000,138467000000,112136000000,3043.95,29.2,マルハニチロ,水産・農林業
1352,2022/03,41116000000,8842000000,7804000000,4100000000,2300000000,17138000000,936.39,19.1,ホウスイ,卸売業
1375,2022/03,36096000000,10470000000,10471000000,16411000000,-,17314000000,262.62,29.0,雪国まいたけ,水産・農林業
1376,2022/05,48932599000,22645781000,21611868000,18632298000,-,-,1956.51,46.3,カネコ種苗,水産・農林業
1377,2022/05,147423000000,125466000000,120125000000,101225000000,937000000,553000000,2821.55,84.9,サカタのタネ,水産・農林業
1379,2022/03,104933000000,54509000000,53798000000,45888000000,4951000000,17753000000,1726.2,51.9,ホクト,水産・農林業
1380,2022/03,5593521000,2035437000,1965752000,704041000,1213918000,1035199000,487.68,36.3,秋川牧園,水産・農林業
1381,2022/06,21408000000,18772000000,18656000000,17777000000,-,-,3342.75,87.7,アクシーズ,水産・農林業
1382,2022/06,1081368000,719374000,719374000,187611000,-,12008000,944.38,66.5,ホーブ,水産・農林業
1383,2022/10,6074440000,1667454000,1628409000,675456000,917500000,1281492000,1131.74,26.7,ベルグアース,水産・農林業
1384,2022/03,15549000000,10154000000,10017734000,8208553000,-,1597734000,1200.45,65.3,ホクリヨウ,食料品
1400,2022/12,2959029000,2392306000,2161140000,-896679000,2600000,78978000,173.12,76.1,ルーデンHD,建設業
1401,2022/05,3841348000,2983131000,2957556000,2217983000,-,-,390.87,77.7,エムビーエス,建設業
1407,2022/08,101418000000,27552000000,27550000000,28049000000,15031000000,43584000000,677.18,27.2,ウエストHD,建設業
1414,2022/06,117423000000,94247000000,93410000000,59162000000,-,-,1768.4,80.2,ショーボンドHD,建設業
1417,2022/03,435785000000,249237000000,236623000000,175815000000,50107000000,-,2446.53,55.6,ミライト・ワン,建設業
1418,2022/02,7564203000,3917190000,3964589000,443479000,450000000,472810000,201.49,51.8,インターライフHD,建設業
1419,2022/05,105077000000,30916000000,30812000000,22672000000,11401000000,5063000000,1053.5,29.4,タマホーム,建設業
1420,2022/03,46886890000,15048053000,15062009000,6575630000,6470000000,10071000000,1358.62,32.1,サンヨーホームズ,建設業
1429,2022/12,21969963000,7966564000,7966543000,6270636000,6000000000,-,254.42,36.3,日本アクア,建設業
1430,2022/05,17811349000,6929957000,6926647000,6580224000,-,2845999000,585.0,38.9,ファーストコーポレーション,建設業
1431,2022/06,7620581000,3400502000,3400502000,1996801000,1123050000,268500000,152.89,44.6,Lib Work,建設業
1433,2023/01,8427000000,4379000000,4484458000,3037498000,300000000,1870376000,493.05,51.8,ベステラ,建設業
1434,2022/08,13466618000,4765976000,4313835000,2381094000,1430566000,2771877000,657.16,32.8,JESCOHD,建設業
1435,2022/12,10753662000,7895443000,7859146000,688663000,252900000,265722000,87.64,73.3,Robot Home,建設業
1436,2022/04,10715733000,4472196000,4467843000,2713018000,1169880000,2001379000,1096.45,41.7,フィット,建設業
1438,2022/09,4477861000,3268142000,3256644000,2522755000,200000000,18344000,1019.75,72.9,岐阜造園,建設業
1439,2022/12,4243116000,1627759000,1570668000,1095916000,-,876083000,1197.37,37.0,安江工務店,建設業
1443,2022/03,15975838000,9884511000,9362432000,6769180000,-,2622420000,608.8,61.9,技研HD,建設業
1444,2022/07,1690479000,1346814000,1346814000,813746000,-,-,1284.36,79.7,ニッソウ,建設業
1446,2022/09,6480398000,2516850000,2516850000,467596000,658335000,1159180000,274.64,38.8,キャンディル,建設業
1447,2022/03,18228135000,2427561000,2080912000,-1981421000,6856950000,3345376000,92.12,11.3,ITbookHD,建設業
1449,2022/12,816629000,333004000,333004000,247156000,50000000,232480000,156.34,40.8,FUJIジャパン,建設業
1450,2022/03,7050397000,5439234000,5397187000,4851491000,-,-,1250.55,77.1,田中建設工業,建設業
1451,2022/03,14898441000,5920588000,5920435000,4487688000,-,3630161000,1494.6,39.7,KHC,建設業
1491,2022/03,9833373000,7067230000,7067230000,899692000,700000000,106129000,24.52,71.9,中外鉱業,非鉄金属
1514,2022/03,21576000000,17354000000,17107000000,14139000000,1700000000,-,315.34,80.4,住石HD,鉱業
1515,2022/03,197732000000,126371000000,108145000000,99391000000,15922000000,4817000000,7217.2,60.7,日鉄鉱業,鉱業
1518,2022/03,67837000000,35537000000,35237000000,20547000000,3967000000,7860000000,2723.7,52.2,三井松島HD,鉱業
1605,2022/12,6262304000000,4038361000000,2919277000000,2066443000000,75878000000,1164369000000,2891.93,60.3,INPEX,鉱業
1662,2022/03,471941000000,402770000000,323602000000,310592000000,-,510000000,6679.84,78.7,石油資源開発,鉱業
1663,2022/12,109823000000,86385000000,83151000000,62466000000,371000000,582000000,3161.0,76.6,K&Oエナジーグループ,鉱業
1711,2022/03,921661000,596609000,594428000,-3268237000,-,-,73.95,64.6,SDSHD,建設業
1712,2023/02,21954000000,15945000000,14634000000,10260000000,1200000000,1187000000,884.75,67.8,ダイセキ環境ソリューション,建設業
1716,2022/06,19408371000,15854200000,15045106000,14271484000,-,177605000,1322.79,77.4,第一カッター興業,建設業
1717,2022/03,5718924000,4283727000,4270479000,3746630000,-,-,371.54,74.7,明豊ファシリティワークス,建設業
1718,2022/12,30998703000,16612269000,14551472000,13191210000,1749000000,1500716000,13366.56,47.1,美樹工業,建設業
