日付,有効化されたメンバーシップの合計,有効化された通常メンバーの合計,有効化されたゲスト,日間アクティブメンバー数,メッセージを投稿したメンバー数の推移(日別),週間アクティブメンバー数,メッセージを投稿したメンバー数の推移(週別),パブリックチャンネルのメッセージ,プライベートチャンネルのメッセージ,共有チャンネルへの投稿メッセージ数,ダイレクトメッセージでの投稿メッセージ数,メッセージの割合、パブリックチャンネル,メッセージの割合、プライベートチャンネル,メッセージの割合、DM,表示回数の割合、パブリックチャンネル,表示回数の割合、プライベートチャンネル,表示回数の割合、DM,通常メンバーの合計,ゲストの合計,申請された通常メンバー総数,申請されたゲスト総数,総メンバー数,申請されたメンバーの合計,アップロードファイル数,メンバーにより投稿されたメッセージ数,名前,パブリックチャンネル、1つのワークスペース,投稿されたメッセージ数,アプリが投稿したメッセージ数
2018-12-10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2018-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0
2019-01-07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.4545,0.2727,0.2727,2,0,2,0,2,2,0,0,0,2,3,0
2019-01-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,2,0,0
2019-01-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,2,0,0
2019-01-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,2,0,0
2019-01-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,2,0,0
2019-01-12,0,0,0,7,2,8,2,0,0,0,30,0,0,1,0.28,0.22,0.5,10,0,10,0,10,10,0,30,0,2,34,0
2019-01-13,0,0,0,8,3,11,4,0,0,0,6,0,0,1,0.3333,0.2157,0.451,13,0,13,0,13,13,0,6,0,2,10,0
2019-01-14,0,0,0,7,0,11,4,0,0,0,0,0,0,0,0.2222,0.6667,0.1111,14,0,14,0,14,14,0,0,0,2,0,0
2019-01-15,0,0,0,9,0,13,4,0,0,0,0,0,0,0,0.4737,0.3684,0.1579,16,0,16,0,16,16,0,0,0,2,0,0
2019-01-16,0,0,0,4,0,13,4,0,0,0,0,0,0,0,0.25,0.75,0,16,0,16,0,16,16,0,0,0,2,0,0
2019-01-17,0,0,0,15,1,19,5,0,0,0,1,0,0,1,0.4348,0.337,0.2283,21,0,21,0,21,21,0,1,0,2,20,0
2019-01-18,0,0,0,8,2,20,6,0,0,0,2,0,0,1,0.4375,0.25,0.3125,23,0,23,0,23,23,0,2,0,2,5,0
2019-01-19,0,0,0,2,0,19,5,0,0,0,0,0,0,0,0.6667,0.1667,0.1667,23,0,23,0,23,23,0,0,0,2,0,0
2019-01-20,0,0,0,5,0,19,2,0,0,0,0,0,0,0,0,0.8,0.2,23,0,23,0,23,23,0,0,0,2,0,0
2019-01-21,0,0,0,13,4,21,5,0,5,0,4,0,0.5556,0.4444,0.1667,0.6111,0.2222,23,0,23,0,23,23,0,9,0,2,10,0
2019-01-22,0,0,0,10,2,22,6,0,0,0,2,0,0,1,0.25,0.375,0.375,23,0,23,0,23,23,0,2,0,2,2,0
2019-01-23,0,0,0,7,1,23,7,0,0,0,1,0,0,1,0,0.7778,0.2222,24,0,24,0,24,24,0,1,0,2,1,0
2019-01-24,0,0,0,13,3,24,9,1,1,0,6,0.125,0.125,0.75,0.3429,0.3714,0.2857,25,0,25,0,25,25,0,8,0,2,10,0
2019-01-25,0,0,0,11,2,24,8,0,0,0,3,0,0,1,0.2105,0.4737,0.3158,25,0,25,0,25,25,0,3,0,2,3,0
2019-01-26,0,0,0,4,0,24,8,0,0,0,0,0,0,0,0.25,0.625,0.125,25,0,25,0,25,25,0,0,0,2,0,0
2019-01-27,0,0,0,9,2,24,8,0,2,0,5,0,0.2857,0.7143,0,0.8,0.2,25,0,25,0,25,25,0,7,0,2,8,0
2019-01-28,0,0,0,5,0,23,5,0,0,0,0,0,0,0,0.3333,0.6667,0,25,0,25,0,25,25,0,0,0,2,0,0
2019-01-29,0,0,0,11,2,22,5,1,1,0,0,0.5,0.5,0,0.3636,0.5455,0.0909,25,0,25,0,25,25,0,2,0,2,2,0
2019-01-30,0,0,0,13,3,21,8,2,0,0,3,0.4,0,0.6,0.5814,0.3023,0.1163,24,0,24,0,24,24,0,5,0,3,6,0
2019-01-31,0,0,0,15,1,21,8,0,1,0,0,0,1,0,0.3226,0.6452,0.0323,24,0,24,0,24,24,0,1,0,3,1,0
2019-02-01,0,0,0,13,1,22,9,1,0,0,0,1,0,0,0.6667,0.2857,0.0476,24,0,24,0,24,24,0,1,0,3,1,0
2019-02-02,0,0,0,19,16,24,19,0,21,0,89,0,0.1909,0.8091,0.0871,0.5645,0.3484,25,0,25,0,25,25,0,110,0,3,143,0
2019-02-03,0,0,0,19,10,25,20,0,2,0,93,0,0.0211,0.9789,0.0299,0.3353,0.6347,26,0,26,0,26,26,0,95,0,3,95,0
2019-02-04,0,0,0,25,20,27,23,0,42,0,30,0,0.5833,0.4167,0.0396,0.7591,0.2013,27,0,27,0,27,27,0,72,0,3,106,0
2019-02-05,0,0,0,21,12,27,23,0,28,0,8,0,0.7778,0.2222,0.0323,0.8774,0.0903,27,0,27,0,27,27,0,36,0,3,39,0
2019-02-06,0,0,0,17,4,27,23,0,3,0,3,0,0.5,0.5,0.1111,0.7778,0.1111,27,0,27,0,27,27,0,6,0,3,6,0
2019-02-07,0,0,0,20,11,27,23,0,182,0,89,0,0.6716,0.3284,0.006,0.9135,0.0805,27,0,27,0,27,27,4,271,0,3,275,0
2019-02-08,0,0,0,18,11,26,22,0,9,0,16,0,0.36,0.64,0.027,0.7027,0.2703,27,0,27,0,27,27,0,25,0,3,29,0
2019-02-09,0,0,0,10,5,26,22,0,1,0,12,0,0.0769,0.9231,0.1429,0.4643,0.3929,27,0,27,0,27,27,0,13,0,3,13,0
2019-02-10,0,0,0,3,1,26,22,0,0,0,1,0,0,1,0.3333,0.3333,0.3333,27,0,27,0,27,27,0,1,0,3,1,0
2019-02-11,0,0,0,14,4,25,17,0,9,0,0,0,1,0,0.0909,0.8485,0.0606,27,0,27,0,27,27,0,9,0,3,9,0
2019-02-12,0,0,0,8,1,24,15,0,1,0,0,0,1,0,0.0769,0.8462,0.0769,27,0,27,0,27,27,0,1,0,3,1,0
2019-02-13,0,0,0,12,5,23,16,0,8,0,1,0,0.8889,0.1111,0.0444,0.9111,0.0444,27,0,27,0,27,27,0,9,0,3,9,0
2019-02-14,0,0,0,10,4,22,16,0,2,0,11,0,0.1538,0.8462,0.1538,0.5385,0.3077,27,0,27,0,27,27,0,13,0,3,13,0
2019-02-15,0,0,0,9,2,22,12,0,0,0,147,0,0,1,0.0126,0.0755,0.9119,27,0,27,0,27,27,8,147,0,3,155,0
